DadoBranco|DadoVerde|DadoAzul|DadoVermelho|Possivel|Nomenclatura
5|en e fechada |C=O (Aldeído/Cetona)|Etil|Sim |3-etilciclobut-2-enona
5|en e fechada |OH (Álcool/Enol/Fenol)|Etil|Não |Não definido
5|en e fechada |-O- (Éter)|Etil|Sim |2-etilciclopent-1-en-1-ol/2-etilciclopent-2-en-1-ol/3-etilciclopent-1-en-1-ol/
5|en e fechada |-COO- (Ácido Carboxílico/Éster)|Etil|Sim |Ácido 2-etilciclopent-2-enoico
5|en e fechada |N (Amina/Amida)|Etil|Sim |3-etilciclopent-2-en-1-amina/3-etilciclopent-2-en-1-amida
5|in e aberta|CxHy (Hidrocarboneto)|Etil|Sim |3-etilpent-1-ino/
5|in e aberta|C=O (Aldeído/Cetona)|Etil|Não |Não definido
5|in e aberta|OH (Álcool/Enol/Fenol)|Etil|Não |Não definido
5|in e aberta|-O- (Éter)|Etil|Não |Não definido
5|in e aberta|-COO- (Ácido Carboxílico/Éster)|Etil|Não |Não definido
5|in e aberta|N (Amina/Amida)|Etil|Não |Não definido
5|in e fechada|CxHy (Hidrocarboneto)|Etil|Não |Não definido
5|in e fechada|C=O (Aldeído/Cetona)|Etil|Não |Não definido
5|in e fechada|OH (Álcool/Enol/Fenol)|Etil|Não |Não definido
5|in e fechada|-O- (Éter)|Etil|Não |Não definido
5|in e fechada|-COO- (Ácido Carboxílico/Éster)|Etil|Não |Não definido
5|in e fechada|N (Amina/Amida)|Etil|Não |Não definido
6|an e aberta|CxHy (Hidrocarboneto)|Etil|Sim |3-etil-hexano / 4-etil-hexano
6|an e aberta|C=O (Aldeído/Cetona)|Etil|Sim |3-etil-hexan-2-ona / 4-etil-hexan-2-ona / 3-etil-hexanal / 2-metilhexanal
6|an e aberta|OH (Álcool/Enol/Fenol)|Etil|Sim |Metoxi 3-etilpentano
6|an e aberta|-O- (Éter)|Etil|Sim |3-etil-hexan-1-ol / 4-etil-hexan-1-ol / 2-etil-hexan-2-ol / 3-etil-hexan-1-ol / 3-etil-hexan-3-ol
6|an e aberta|-COO- (Ácido Carboxílico/Éster)|Etil|Sim |Ácido 3-etilpentanoico / Ácido 4-etilpentanoico / 3-etilbutanoato de etila / 2-etilpropanoato de propila
6|an e aberta|N (Amina/Amida)|Etil|Sim |3-etil-hexan-1-amina / 4-etil-hexan-2-amina / 3-etil-hexan-1-amida
6|an e fechada |CxHy (Hidrocarboneto)|Etil|Sim |Eticiclohexano
6|an e fechada |C=O (Aldeído/Cetona)|Etil|Sim |3-etilciclohexanona / 4-etilciclohexanona
6|an e fechada |OH (Álcool/Enol/Fenol)|Etil|Sim |1,6-epoxiheptano
6|an e fechada |-O- (Éter)|Etil|Sim |1-etilciclohexan-1-ol / 2-etilciclohexan-1-ol / 3-etilciclohexan-1-o
6|an e fechada |-COO- (Ácido Carboxílico/Éster)|Etil|Sim |Ácido 3-etilciclohexanoico
6|an e fechada |N (Amina/Amida)|Etil|Sim |2-etilciclohexilamina / 2-etilciclohexanocarboxamida
6|en e aberta|CxHy (Hidrocarboneto)|Etil|Sim |3-etil-hexan-1-eno / 4-etil-hex-1-eno / 3-etil-hex-1-eno / 3-etil-hex-2-eno
6|en e aberta|C=O (Aldeído/Cetona)|Etil|Sim |3-etil-hex-2-enal / 3-etil-hex-3-enal / 3-etil-hex-4-enal / 3-etil-hex-3-en-2-ona / 5-etil-hex-2-en-4-ona
6|en e aberta|OH (Álcool/Enol/Fenol)|Etil|Sim |Metoxi 3-etilpen-1-eno/
6|en e aberta|-O- (Éter)|Etil|Sim |3-etil-hex-2-en-2-ol / 2-etil-hex-2-en-2-ol / 3-etil-hex-1-en-2-ol / 2-etil-hex-3-en-2-ol / 2-etil-pent-3-en-2-ol
6|en e aberta|-COO- (Ácido Carboxílico/Éster)|Etil|Sim |Ácido 3-etilpent-2-enoico / Ácido 4-etilpent-2-enoico / Ácido 5-etilpent-2-enoico / 2-etilprop-2-enoato de etila
6|en e aberta|N (Amina/Amida)|Etil|Sim |3-etil-hex-2-en-1-amina / 3-etil-hex-3-en-1-amina / 3-etil-hex-1-en-3-amina / 3-etil-hex-2-en-1-amida / 3-etil-hex-3-en-1-amida
6|en e fechada |CxHy (Hidrocarboneto)|Etil|Sim |2-etilciclohex-1-eno / 3-etilciclohex-1-eno
6|en e fechada |C=O (Aldeído/Cetona)|Etil|Sim |3-etilciclohex-2-en-1-ona / 3-etilciclohex-2-en-1-ona / 3-etilciclohex-2-en-1-ona
6|en e fechada |OH (Álcool/Enol/Fenol)|Etil|Não |Não definido
6|en e fechada |-O- (Éter)|Etil|Sim |3-etilciclohex-1-en-1-ol / 4-etilciclohex-1-en-1-ol / 3-etilciclohex-1-en-1-ol
6|en e fechada |-COO- (Ácido Carboxílico/Éster)|Etil|Sim |Ácido 2-etilciclohex-2-en-1-oico / Ácido 3-etilciclohex-2-en-1-oico
6|en e fechada |N (Amina/Amida)|Etil|Sim |2-etilciclohex-2-en-1-amina / 3-etilciclohex-2-en-1-amina / 4-etilciclohex-2-en-1-amina / 2-etilciclohex-2-en-1-carboxamida
6|in e aberta|CxHy (Hidrocarboneto)|Etil|Sim |3-etil-hex-1-ino / 4-etil-hex-2-ino
6|in e aberta|C=O (Aldeído/Cetona)|Etil|Não |Não definido
6|in e aberta|OH (Álcool/Enol/Fenol)|Etil|Não |Não definido
6|in e aberta|-O- (Éter)|Etil|Não |Não definido
6|in e aberta|-COO- (Ácido Carboxílico/Éster)|Etil|Não |Não definido
6|in e aberta|N (Amina/Amida)|Etil|Não |Não definido
6|in e fechada|CxHy (Hidrocarboneto)|Etil|Não |Não definido
6|in e fechada|C=O (Aldeído/Cetona)|Etil|Não |Não definido
6|in e fechada|OH (Álcool/Enol/Fenol)|Etil|Não |Não definido
6|in e fechada|-O- (Éter)|Etil|Não |Não definido
6|in e fechada|-COO- (Ácido Carboxílico/Éster)|Etil|Não |Não definido
6|in e fechada|N (Amina/Amida)|Etil|Não |Não definido
7|an e aberta|CxHy (Hidrocarboneto)|Etil|Sim |3-etilheptano / 4-etilheptano /
7|an e aberta|C=O (Aldeído/Cetona)|Etil|Sim |3-etilheptanal / 4-etilheptanal / 3-etilheptan-2-ona / 4-etilheptan-2-ona / 3-etilheptan-2-ona / 4-etilheptan-2-ona
7|an e aberta|OH (Álcool/Enol/Fenol)|Etil|Sim |Propoxi 3-etilbutano / Propoxi 4-etilbutano / etopoxi 3-etilpentano / Metoxi 4-etil-hexano
7|an e aberta|-O- (Éter)|Etil|Sim |3-etilheptan-1-ol / 4-etilheptan-2-ol / 3-etilheptan-1-ol / 4-etilheptan-2-ol / 5-etil-heptan-2-ol
7|an e aberta|-COO- (Ácido Carboxílico/Éster)|Etil|Sim |Ácido 3-etilheptanoico / Ácido 4-etil-heptanoico / Ácido 3-etil-heptanoico / 3-etilbutanoato de propila / 4-etil-hexanoato de metila
7|an e aberta|N (Amina/Amida)|Etil|Sim |3-etilheptan-1-amina / 4-etilheptan-2-amina / 3-etilheptan-1-amida / 4-etilheptan-2-amida
7|an e fechada |CxHy (Hidrocarboneto)|Etil|Sim |Eticicloheptano
7|an e fechada |C=O (Aldeído/Cetona)|Etil|Sim |3-Etilcicloheptanona / 4-etilcicloheptanona / 3-etilcicloheptanona
7|an e fechada |OH (Álcool/Enol/Fenol)|Etil|Sim |1,7-epoxiheptano
7|an e fechada |-O- (Éter)|Etil|Sim |3-etilcicloheptan-1-ol / 1-etilcicloheptan-1-ol / 3-etilcicloheptan-1-ol / 4-etilcicloheptan-1-ol
7|an e fechada |-COO- (Ácido Carboxílico/Éster)|Etil|Sim |Ácido 3-etilcicloheptanoico
7|an e fechada |N (Amina/Amida)|Etil|Sim |3-etilcicloheptanamina / 3-etilcicloheptanamida
7|en e aberta|CxHy (Hidrocarboneto)|Etil|Sim |3-etilhept-2-eno / 4-etilhept-2-eno / 3-etilhept-2-eno / 3-etilhept-1-eno / 3-etilhept-3-eno
7|en e aberta|C=O (Aldeído/Cetona)|Etil|Sim |3-etilhept-2-enal / 4-etilhept-3-enal / 3-etilhept-2-enal / 4-etilhept-3-ona / 3-etilhept-4-en-2-ona / 4-etilheptan-3-ona
7|en e aberta|OH (Álcool/Enol/Fenol)|Etil|Sim |Etoxi 3-etilpent-2-eno / Etoxi 4-etilpent-3-eno
7|en e aberta|-O- (Éter)|Etil|Sim |3-etilhept-2-en-1-ol / 3-etilhept-2-en-1-ol / 4-etilhept-2-en-1-ol / 3-etilhept-1-en-3-ol / 3-etilhept-3-en-1-ol
7|en e aberta|-COO- (Ácido Carboxílico/Éster)|Etil|Sim |Ácido 3-etilhept-3-enoico / Ácido 4-etil-hept-4-enoico / Ácido 3-etil-hept-2-enoico / 3-etilbut-3-enoato de propila
7|en e aberta|N (Amina/Amida)|Etil|Sim |4-etil-hept-2-en-1-amina / 5-etil-hept-2-en-2-amina / 3-etil-hept-3-en-1-amida / 4-etil-hept-4-en-1-amida
7|en e fechada |CxHy (Hidrocarboneto)|Etil|Sim |3-etilciclohepteno / 4-etilciclohepteno / 3-etilciclohepteno
7|en e fechada |C=O (Aldeído/Cetona)|Etil|Sim |3-etilcicloheptenona / 4-etilcicloheptenona / 3-etilcicloheptenona
7|en e fechada |OH (Álcool/Enol/Fenol)|Etil|Não |Não definido
7|en e fechada |-O- (Éter)|Etil|Sim |3-etilcicloheptenol / 4-etilcicloheptenol / 3-etilcicloheptenol
7|en e fechada |-COO- (Ácido Carboxílico/Éster)|Etil|Sim |Ácido 3-etilcicloheptenoico / Ácido 4-etilcicloheptenoico / Ácido 3-etilcicloheptenoico
7|en e fechada |N (Amina/Amida)|Etil|Sim |N-etilciclohepten-1-amina / 3-etil-N-cicloheptilamina / 4-etil-N-cicloheptilamina
7|in e aberta|CxHy (Hidrocarboneto)|Etil|Sim |4-etil-hept-1-ino / 5-etil-hept-1-ino / 6-etil-hept-1-ino / 7-etil-hept-1-ino / 6-etil-hept-2-ino / 7-etil-hept-3-ino
7|in e aberta|C=O (Aldeído/Cetona)|Etil|Sim |4-etil-hept-1-in-4-ona / 5-etil-hept-1-in-5-ona / 3-etil-hept-1-in-6-ona / 3-etil-hept-6-in-1-al
7|in e aberta|OH (Álcool/Enol/Fenol)|Etil|Sim |Metoxi 4-etil-hex-5-ino
7|in e aberta|-O- (Éter)|Etil|Sim |3-etil-hept-1-in-4-ol / 5-etil-hept-1-in-3-ol / 6-etil-hept-1-in-3-ol / 7-etil-hept-1-in-4-ol
7|in e aberta|-COO- (Ácido Carboxílico/Éster)|Etil|Não |Não definido
7|in e aberta|N (Amina/Amida)|Etil|Sim |3-etil-2-amino-hept-5-ino
7|in e fechada|CxHy (Hidrocarboneto)|Etil|Sim |3-etilcicloheptino / 4-etilcicloheptino / 3-etilciclohept-1-ino
7|in e fechada|C=O (Aldeído/Cetona)|Etil|Não |Não definido
7|in e fechada|OH (Álcool/Enol/Fenol)|Etil|Não |Não definido
7|in e fechada|-O- (Éter)|Etil|Não |Não definido
7|in e fechada|-COO- (Ácido Carboxílico/Éster)|Etil|Não |Não definido
7|in e fechada|N (Amina/Amida)|Etil|Não |Não definido
8|an e aberta|CxHy (Hidrocarboneto)|Etil|Sim |3-etiloctano / 4-etiloctano / 5-etiloctano
8|an e aberta|C=O (Aldeído/Cetona)|Etil|Sim |3-etiloctanal / 4-etiloctanal / 3-etiloctan-3-ona / 4-etiloctan-2-ona / 3-etiloctan-2-ona / 4-etiloctan-2-ona
8|an e aberta|OH (Álcool/Enol/Fenol)|Etil|Sim |Propoxi 3-etilpentano / Metoxi 3-etil-heptano / Propoxi 4-etilpentano
8|an e aberta|-O- (Éter)|Etil|Sim |3-etiloctan-1-ol / 4-etiloctan-2-ol / 3-etiloctan-3-ol / 3-etiloctan-3-ol / 4-etiloctan-3-ol / 3-etiloctan-2-ol
8|an e aberta|-COO- (Ácido Carboxílico/Éster)|Etil|Sim |Ácido 3-etiloctanoico / Ácido 4-etiloctanoico / Etanoato de 3-etil-hexila / Propanoato de 4-etilpentila
8|an e aberta|N (Amina/Amida)|Etil|Sim |3-Etil-octanamina / 4-Etil-octanamina / N,3-Dimetil-octanamina / 4-Etil-octanamida / N-Etil-octanamida
8|an e fechada |CxHy (Hidrocarboneto)|Etil|Sim |Etilciclo-octano
8|an e fechada |C=O (Aldeído/Cetona)|Etil|Sim |3-etilciclo-octanona / 4-etilciclo-octanona / 3-etilciclo-octanona
8|an e fechada |OH (Álcool/Enol/Fenol)|Etil|Não |Não definido
8|an e fechada |-O- (Éter)|Etil|Sim |3-etilciclo-octan-1-ol / 1-etilciclo-octan-1-ol / 4-etilciclo-octan-1-ol / 3-etilciclo-octan-1-ol
8|an e fechada |-COO- (Ácido Carboxílico/Éster)|Etil|Sim |Ácido 3-etilciclooctanoico
8|an e fechada |N (Amina/Amida)|Etil|Sim |3-etilciclooctanamina / 4-etilciclooctanamina / 3-etilciclooctanamida / 4-etilciclooctanamida
8|en e aberta|CxHy (Hidrocarboneto)|Etil|Sim |3-Etil-oct-2-eno / 3-Etil-oct-1-eno
8|en e aberta|C=O (Aldeído/Cetona)|Etil|Sim |3-etiloct-2-enal / 3-etiloct-2-enal / 3-etiloct-1-en-3-ona / 3-etiloct-2-en-4-ona
8|en e aberta|OH (Álcool/Enol/Fenol)|Etil|Sim |Etoxi 3-etil-hex-eno / Metoxi 4-etil-hept-2-eno / Propoxi 3-etilpent-2-eno
8|en e aberta|-O- (Éter)|Etil|Sim |3-Etil-oct-1-en-4-ol / 3-Etil-oct-1-en-4-en-ol / 3-etiloct-1-en-2-ol
8|en e aberta|-COO- (Ácido Carboxílico/Éster)|Etil|Sim |Ácido 3-etilciclooct-3-enoico / Ácido 3-etilciclooct-4-enoico / Ácido 3-etilciclooct-5-enoico / 3-etilpent-3-enoato de propila
8|en e aberta|N (Amina/Amida)|Etil|Sim |3-etil-oct-1-enamina / 3-Etil-oct-1-en-4-amina / 6-etil-oct-1-en-4-amina / 3-Etil-oct-1-en-4-namida
8|en e fechada |CxHy (Hidrocarboneto)|Etil|Sim |3-etilciclo-octeno / 4-etilciclo-octeno / 3-etilciclo-octeno
8|en e fechada |C=O (Aldeído/Cetona)|Etil|Sim |2-metilciclo-octenona/3-metilciclo-octenona/4-metilciclo-octenona
8|en e fechada |OH (Álcool/Enol/Fenol)|Etil|Não |Não definido
8|en e fechada |-O- (Éter)|Etil|Sim |3-etilciclo-octenol / 3-etilciclo-oct-3-enol / 4-etilciclo-oct-2-enol
8|en e fechada |-COO- (Ácido Carboxílico/Éster)|Etil|Sim |Ácido 6-etilciclo-oct-4-enoico
8|en e fechada |N (Amina/Amida)|Etil|Sim |3-etilciclo-oct-2-enamida / 6-etilciclo-oct-2-enamina / 4-etilciclo-oct-3-enamina
8|in e aberta|CxHy (Hidrocarboneto)|Etil|Sim |3-Etil-oct-1-ino / 6-Etil-oct-4-ino
8|in e aberta|C=O (Aldeído/Cetona)|Etil|Sim |3-Etil-oct-1-in-5-ona / 3-Etil-oct-1-in-6-ona / 3-Etil-oct-7-inal
8|in e aberta|OH (Álcool/Enol/Fenol)|Etil|Não |Não definido
8|in e aberta|-O- (Éter)|Etil|Sim |3-Etil-oct-1-in-3-ol / 6-Etil-oct-4-in-3-ol
8|in e aberta|-COO- (Ácido Carboxílico/Éster)|Etil|Sim |Ácido 3-etil-oct-7-in-1-oico
8|in e aberta|N (Amina/Amida)|Etil|Não |Não definido
8|in e fechada|CxHy (Hidrocarboneto)|Etil|Não |Não definido
8|in e fechada|C=O (Aldeído/Cetona)|Etil|Não |Não definido
8|in e fechada|OH (Álcool/Enol/Fenol)|Etil|Não |Não definido
8|in e fechada|-O- (Éter)|Etil|Não |Não definido
8|in e fechada|-COO- (Ácido Carboxílico/Éster)|Etil|Não |Não definido
8|in e fechada|N (Amina/Amida)|Etil|Não |Não definido
9|an e aberta|CxHy (Hidrocarboneto)|Etil|Sim |3-etilnonano / 4-etilnonano / 5-etilnonano
9|an e aberta|C=O (Aldeído/Cetona)|Etil|Sim |3-etilnonanal / 4-etilnonanal / 5-etilnonanal / 3-etilnonan-3-ona / 4-etilnonan-4-ona / 5-etilnonan-3-ona / 3-etilnonan-2-ona
9|an e aberta|OH (Álcool/Enol/Fenol)|Etil|Sim |Propoxi 4-metil-hexano / Metoxi 4-metil-heptano / Propoxi 3-metil-pentano
9|an e aberta|-O- (Éter)|Etil|Sim |3-etilnonan-1-ol / 4-etilnonan-2-ol / 3-etilnonan-3-ol / 3-etilnonan-3-ol / 4-etilnonan-3-ol / 3-etilnonan-2-ol
9|an e aberta|-COO- (Ácido Carboxílico/Éster)|Etil|Sim |Ácido 3-etilnonanoico / Ácido 3-etilnonanoico / 4-etilhexanoato de propila / 3-etilpentanoato de butila
9|an e aberta|N (Amina/Amida)|Etil|Sim |3-Etilnonan-1-amina / 4-Etilnonan-1-amina / 3-Etilnonan-1-amina / 3-Etilnonan-1-amida / 4-Etilnonan-1-amida
9|an e fechada |CxHy (Hidrocarboneto)|Etil|Sim |Etilciclononano
9|an e fechada |C=O (Aldeído/Cetona)|Etil|Sim |3-etilciclononanona / 4-etilciclononanona / 5-etilciclononanona
9|an e fechada |OH (Álcool/Enol/Fenol)|Etil|Não |Não definido
9|an e fechada |-O- (Éter)|Etil|Sim |1-Metilciclonon-1-ol / 3-Metilciclonon-1-ol / 4-Metilciclonon-1-ol / 5-Metilciclonon-1-ol
9|an e fechada |-COO- (Ácido Carboxílico/Éster)|Etil|Sim |Ácido 3-etilciclononanoico / Ácido 4-etilciclononanoico
9|an e fechada |N (Amina/Amida)|Etil|Sim |2-metilciclononamina/1-metilciclononamina/3-metilciclononamina
9|en e aberta|CxHy (Hidrocarboneto)|Etil|Sim |3-etilnon-2-eno / 4-etilnon-3-eno / 5-etilnon-2-eno / 3-etilnon-1-eno / 3-etilnon-1-eno / 4-etilnon-1-eno / 5-etilnon-eno / 3-etilnon-1-eno
9|en e aberta|C=O (Aldeído/Cetona)|Etil|Sim |3-etilnon-2-enal / 4-etilnon-3-enal / 5-etilnon-2-enal / 3-etilnon-1-en-3-ona / 3-etilnon-4-en-2-ona / 4-Etil-non-6-en-2-ona / 6-Etil-non-4-en-8-ona
9|en e aberta|OH (Álcool/Enol/Fenol)|Etil|Sim |Propoxi 1-etil-hex-1-eno / Propoxi-3-etil-but-2-eno / Propoxi-4-etil-hex-2-eno
9|en e aberta|-O- (Éter)|Etil|Sim |3-Etil-non-5-en-3-ol / 5-Etil-non-6-en-2-ol / 7-Etil-non-4-en-6-ol
9|en e aberta|-COO- (Ácido Carboxílico/Éster)|Etil|Sim |Ácido 3-Etil-non-5-enoico / 5-Etil-non-6-enoico de etila / Ácido 7-Etil-non-4-enoico
9|en e aberta|N (Amina/Amida)|Etil|Sim |-Etil-non-5-en-2-amina / 5-Etil-non-6-en-3-amina / 3-Etil-non-4-en-2-amida
9|en e fechada |CxHy (Hidrocarboneto)|Etil|Sim |4-etilciclononeno / 2-etilciclononeno / 3-etilciclononeno
9|en e fechada |C=O (Aldeído/Cetona)|Etil|Sim |7-etilciclonon-3-enona / 5-etilciclonon-5-enona
9|en e fechada |OH (Álcool/Enol/Fenol)|Etil|Não |Não definido
9|en e fechada |-O- (Éter)|Etil|Sim |6-etilciclonon-3-en-1-ol / 5-etilciclonon-4-en-1-ol / 4-etilciclonon-3-en-1-ol / 3-etilciclonon-4-en-1-ol
9|en e fechada |-COO- (Ácido Carboxílico/Éster)|Etil|Não |Não definido
9|en e fechada |N (Amina/Amida)|Etil|Sim |3-etil-ciclonon-3-enamina / 5-etil-ciclonon-3-enamina / 7-etil-ciclonon-3-enamina
9|in e aberta|CxHy (Hidrocarboneto)|Etil|Sim |4-etilnon-1-ino / 4-etilnon-2-ino / 5-etilnon-3-ino / 4-etilnon-2-ino / 7-etilnon-2-ino / 6-etilnon-2-ino
9|in e aberta|C=O (Aldeído/Cetona)|Etil|Sim |4-etilnon-2-inal / 5-etilnon-3-inal / 7-etilnon-1-in-3-ona
9|in e aberta|OH (Álcool/Enol/Fenol)|Etil|Sim |Etoxi 3-etil-hept-6-ino / Metoxi 3-etil-oct-7-ino
9|in e aberta|-O- (Éter)|Etil|Sim |5-etilnon-1-in-4-ol / 5-etilnon-2-in-4-ol / 5-etilnon-3-in-4-ol / 5-etilnon-4-in-4-ol / 5-etilnon-6-in-4-ol
9|in e aberta|-COO- (Ácido Carboxílico/Éster)|Etil|Sim |Ácido 4-metilnon-2-in-óico/ Ácido 5-metilnon-3-in-óico/ Ácido 6-metilnon-4-in-óico/ 4-metiloct-2-in-oato de metila
9|in e aberta|N (Amina/Amida)|Etil|Sim |4-etilnon-2-in-amina / 5-etilnon-3-in-amida / 6-etilnon-4-in-amina
9|in e fechada|CxHy (Hidrocarboneto)|Etil|Sim |4-etilciclononino / 6-etilciclononino
9|in e fechada|C=O (Aldeído/Cetona)|Etil|Sim |4-etilciclononinona
9|in e fechada|OH (Álcool/Enol/Fenol)|Etil|Não |Não definido
9|in e fechada|-O- (Éter)|Etil|Sim |4-etilciclononinol/
9|in e fechada|-COO- (Ácido Carboxílico/Éster)|Etil|Não |Não definido
9|in e fechada|N (Amina/Amida)|Etil|Não |Não definido
10|an e aberta|CxHy (Hidrocarboneto)|Etil|Sim |3-etildecano / 4-etildecano / 5-etildecano / 6-etildecano
10|an e aberta|C=O (Aldeído/Cetona)|Etil|Sim |3-etildecanal / 6-etildecan-2-ona / 5-etildecanal
10|an e aberta|OH (Álcool/Enol/Fenol)|Etil|Sim |Etoxi 4-etil-octano / Propoxi 5-etil-heptano / Butoxi 4-etil-hexano / Pentoxi 5-etil-pentano
10|an e aberta|-O- (Éter)|Etil|Sim |3-etil-octan-1-ol / 3-etil-octan-1-ol / 4-etil-octan-1-ol / 5-etil-octan-1-ol
10|an e aberta|-COO- (Ácido Carboxílico/Éster)|Etil|Sim |Ácido 2-etildecanoico / Ácido 3-etildecanoico / Ácido 4-etildecanoico / Ácido 5-etildecanoico / Ácido 6-etildecanoico
10|an e aberta|N (Amina/Amida)|Etil|Sim |3-etildecan-1-amina / 4-etildecan-3-amina / 6-etildecan-5-amina / 3-etildecanamida / 4-etildecanamida / 6-etildecanamida
10|an e fechada |CxHy (Hidrocarboneto)|Etil|Sim |Etilciclodecano
10|an e fechada |C=O (Aldeído/Cetona)|Etil|Sim |2-etilciclodecanona / 3-etilciclodecanona / 4-etilciclodecanona / 5-etilciclodecanona
10|an e fechada |OH (Álcool/Enol/Fenol)|Etil|Não |Não definido
10|an e fechada |-O- (Éter)|Etil|Sim |1-etilciclodecanol / 3-etilciclodecanol / 4-etilciclodecanol / 5-etilciclodecanol / 6-etilciclodecanol
10|an e fechada |-COO- (Ácido Carboxílico/Éster)|Etil|Sim |Ácido 2-etilciclodecanoico / Ácido 3-etilciclodecanoico / Ácido 4-etilciclodecanoico / Ácido 5-etilciclodecanoico
10|an e fechada |N (Amina/Amida)|Etil|Sim |1-Etilciclodecilamina / N-Etilciclododecanamida
10|en e aberta|CxHy (Hidrocarboneto)|Etil|Sim |3-etildec-3-eno / 5-etildec-5-eno / 7-etildec-7-eno
10|en e aberta|C=O (Aldeído/Cetona)|Etil|Sim |3-Etildec-2-enal / 3-Etildec-4-enal / 3-Etildec-6-enal / 5-Etildec-2-en-4-ona / 5-Etildec-4-en-2-ona / 5-Etildec-6-en-2-ona
10|en e aberta|OH (Álcool/Enol/Fenol)|Etil|Sim |Etoxi 3-etil-oct-3-eno / Metoxi 4-etil-non-2-eno / Propoxi 5-etil-hex-2-eno
10|en e aberta|-O- (Éter)|Etil|Sim |3-Etildec-4-en-1-ol / 3-Etildec-2-en-1-ol / 3-Etildec-6-en-1-ol / 3-Etildec-2-en-1-ol / 3-Etildec-4-en-1-ol / 3-Etildec-6-en-1-ol
10|en e aberta|-COO- (Ácido Carboxílico/Éster)|Etil|Sim |Ácido 3-Etildec-2-enoico / Ácido 5-Etildec-4-enoico / Ácido 7-Etildec-6-enoico / 3-etil-heptanoato de propila / 4-etilpentanoato de pentila
10|en e aberta|N (Amina/Amida)|Etil|Sim |3-Etildec-2-en-1-amina / 3-Etildec-4-en-1-amina / 3-Etildec-6-en-1-amina / N-Etil-3-etildec-2-enamida / N-Etil-5-etildec-4-enamida
10|en e fechada |CxHy (Hidrocarboneto)|Etil|Sim |2-etilciclodec-1-eno / 3-etilciclodec-1-eno / 4-etilciclodec-1-eno / 5-etilciclodec-1-eno
10|en e fechada |C=O (Aldeído/Cetona)|Etil|Sim |5-Etilciclodecanona / 4-Etilciclodecanona / 3-Etilciclodecanona
10|en e fechada |OH (Álcool/Enol/Fenol)|Etil|Não |Não definido
10|en e fechada |-O- (Éter)|Etil|Sim |3-Etilciclodec-1-en-1-ol / 3-Etilciclodec-1-en-4-ol / 4-Etilciclodec-1-en-1-ol / 4-Etilciclodec-1-en-5-ol / 5-Etilciclodec-1-en-1-ol / 5-Etilciclodec-1-en-6-ol
10|en e fechada |-COO- (Ácido Carboxílico/Éster)|Etil|Sim |Ácido 2-etilciclodec-2-en-1-óico / Ácido 4-etilciclodec-3-en-1-óico / Ácido 3-etilciclodec-4-en-1-óico
10|en e fechada |N (Amina/Amida)|Etil|Sim |3-etilciclodec-1-en-1-amida / 4-etilciclodec-1-en-1-amida / 4-etilciclodec-1-en-1-amina / 5-etilciclodec-1-en-1-amina / 3-etilciclodec-1-en-1-amina
10|in e aberta|CxHy (Hidrocarboneto)|Etil|Sim |3-etildec-1-ino / 5-etildec-1-ino / 7-etildec-1-ino
10|in e aberta|C=O (Aldeído/Cetona)|Etil|Sim |3-etildec-1-in-5-ona / 5-etildec-1-in-5-ona / 2-etildec-1-inal / 4-etildec-1-inal
10|in e aberta|OH (Álcool/Enol/Fenol)|Etil|Não |Não definido
10|in e aberta|-O- (Éter)|Etil|Sim |2-etildec-1-inol / 4-etildec-1-inol / 6-etildec-1-inol / 8-etildec-1-inol
10|in e aberta|-COO- (Ácido Carboxílico/Éster)|Etil|Sim |Ácido 3-etildec-1-inoico / Ácido 5-etildec-1-inoico / Ácido 7-etildec-1-inoico / Ácido 9-etildec-1-inoico
10|in e aberta|N (Amina/Amida)|Etil|Sim |-etildec-1-inoamida / 5-etildec-1-inoamida / 9-etildec-1-ino-3-amina / 7-etildec-1-ino-4-amina
10|in e fechada|CxHy (Hidrocarboneto)|Etil|Sim |3-etilciclo-deca-1-ino
10|in e fechada|C=O (Aldeído/Cetona)|Etil|Sim |6-etilciclo-deca-1-inona
10|in e fechada|OH (Álcool/Enol/Fenol)|Etil|Não |Não definido
10|in e fechada|-O- (Éter)|Etil|Não |2-etilciclo-deca-1-inol
10|in e fechada|-COO- (Ácido Carboxílico/Éster)|Etil|Não |Ácido 7-etilciclo-deca-1-inoico
10|in e fechada|N (Amina/Amida)|Etil|Não |6-etilciclo-deca-1-inoamina / 9-etilciclo-deca-1-inoamida
11|an e aberta|CxHy (Hidrocarboneto)|Etil|Sim |3-etil-undecano / 4-etil-undecano / 5-etil-undecano / 6-etil-undecano / 7-etil-undecano
11|an e aberta|C=O (Aldeído/Cetona)|Etil|Sim |4-etilundecanal / 6-etilundecanal / 8-etilundecanal / 3-etilundecan-4-ona / 7-etilundecan-3-ona / 9-etilundecan-5-ona
11|an e aberta|OH (Álcool/Enol/Fenol)|Etil|Sim |Etoxi 3-etilnonano / Propoxi 4-etiloctano / Metoxi 5-etildecano
11|an e aberta|-O- (Éter)|Etil|Sim |3-etilundecan-1-ol / 6-etilundecan-2-ol / 8-etilundecan-4-ol
11|an e aberta|-COO- (Ácido Carboxílico/Éster)|Etil|Sim |Ácido 4-etilundecanoico / Ácido 6-etilundecanoico / Ácido 8-etilundecanoico / 7-etiloctanoato de propila / 5-etiloctanoato de etila
